course_slug,module_slug,title,module_id,summary,sequence_number,duration_weeks,objectives
dsl-490,module-2,Systems & Components,21502,Detailed study of system components and operation,2,2,Objective A;Objective B;Objective C
dsl-490,module-3,Diagnostics & Service,21503,Diagnostic procedures and service techniques,3,2,Objective A;Objective B;Objective C
dsl-490,module-4,Advanced Applications,21504,Advanced topics and real-world scenarios,4,2,Objective A;Objective B;Objective C
ev-150,module-1,Fundamentals,21601,Introduction to core concepts and safety,1,2,Objective A;Objective B;Objective C
ev-150,module-2,Systems & Components,21602,Detailed study of system components and operation,2,2,Objective A;Objective B;Objective C
ev-150,module-3,Diagnostics & Service,21603,Diagnostic procedures and service techniques,3,2,Objective A;Objective B;Objective C
ev-150,module-4,Advanced Applications,21604,Advanced topics and real-world scenarios,4,2,Objective A;Objective B;Objective C
ev-160,module-1,Fundamentals,21701,Introduction to core concepts and safety,1,2,Objective A;Objective B;Objective C
ev-160,module-2,Systems & Components,21702,Detailed study of system components and operation,2,2,Objective A;Objective B;Objective C
ev-160,module-3,Diagnostics & Service,21703,Diagnostic procedures and service techniques,3,2,Objective A;Objective B;Objective C
ev-160,module-4,Advanced Applications,21704,Advanced topics and real-world scenarios,4,2,Objective A;Objective B;Objective C
ev-170,module-1,Fundamentals,21801,Introduction to core concepts and safety,1,2,Objective A;Objective B;Objective C
ev-170,module-2,Systems & Components,21802,Detailed study of system components and operation,2,2,Objective A;Objective B;Objective C
ev-170,module-3,Diagnostics & Service,21803,Diagnostic procedures and service techniques,3,2,Objective A;Objective B;Objective C
ev-170,module-4,Advanced Applications,21804,Advanced topics and real-world scenarios,4,2,Objective A;Objective B;Objective C
ev-350,module-1,Fundamentals,21901,Introduction to core concepts and safety,1,2,Objective A;Objective B;Objective C
ev-350,module-2,Systems & Components,21902,Detailed study of system components and operation,2,2,Objective A;Objective B;Objective C
ev-350,module-3,Diagnostics & Service,21903,Diagnostic procedures and service techniques,3,2,Objective A;Objective B;Objective C
ev-350,module-4,Advanced Applications,21904,Advanced topics and real-world scenarios,4,2,Objective A;Objective B;Objective C
ev-360,module-1,Fundamentals,22001,Introduction to core concepts and safety,1,2,Objective A;Objective B;Objective C
ev-360,module-2,Systems & Components,22002,Detailed study of system components and operation,2,2,Objective A;Objective B;Objective C
ev-360,module-3,Diagnostics & Service,22003,Diagnostic procedures and service techniques,3,2,Objective A;Objective B;Objective C
ev-360,module-4,Advanced Applications,22004,Advanced topics and real-world scenarios,4,2,Objective A;Objective B;Objective C
ev-370,module-1,Fundamentals,22101,Introduction to core concepts and safety,1,2,Objective A;Objective B;Objective C
ev-370,module-2,Systems & Components,22102,Detailed study of system components and operation,2,2,Objective A;Objective B;Objective C
ev-370,module-3,Diagnostics & Service,22103,Diagnostic procedures and service techniques,3,2,Objective A;Objective B;Objective C
ev-370,module-4,Advanced Applications,22104,Advanced topics and real-world scenarios,4,2,Objective A;Objective B;Objective C
ev-490,module-1,Fundamentals,22201,Introduction to core concepts and safety,1,2,Objective A;Objective B;Objective C
ev-490,module-2,Systems & Components,22202,Detailed study of system components and operation,2,2,Objective A;Objective B;Objective C
ev-490,module-3,Diagnostics & Service,22203,Diagnostic procedures and service techniques,3,2,Objective A;Objective B;Objective C
ev-490,module-4,Advanced Applications,22204,Advanced topics and real-world scenarios,4,2,Objective A;Objective B;Objective C
vlb-100,module-1,Fundamentals,22301,Introduction to core concepts and safety,1,2,Objective A;Objective B;Objective C
vlb-100,module-2,Systems & Components,22302,Detailed study of system components and operation,2,2,Objective A;Objective B;Objective C
vlb-100,module-3,Diagnostics & Service,22303,Diagnostic procedures and service techniques,3,2,Objective A;Objective B;Objective C
vlb-100,module-4,Advanced Applications,22304,Advanced topics and real-world scenarios,4,2,Objective A;Objective B;Objective C
vlb-110,module-1,Fundamentals,22401,Introduction to core concepts and safety,1,2,Objective A;Objective B;Objective C
vlb-110,module-2,Systems & Components,22402,Detailed study of system components and operation,2,2,Objective A;Objective B;Objective C
vlb-110,module-3,Diagnostics & Service,22403,Diagnostic procedures and service techniques,3,2,Objective A;Objective B;Objective C
vlb-110,module-4,Advanced Applications,22404,Advanced topics and real-world scenarios,4,2,Objective A;Objective B;Objective C
